platform,platform_name,date,new_followers,lost_followers,net_followers,gross_revenue,refund_amount,net_revenue,content_count,views,exposure,likes,comments,favorites,shares,coins,danmaku,quality_note,source_file,source_mtime
bili,B站,2026-07-11,11,0,11,54.27,0.0,54.27,0,1770,2390,73,11,19,7,5,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
bili,B站,2026-07-12,12,4,8,59.11,0.0,59.11,1,1789,2415,73,11,20,7,5,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
bili,B站,2026-07-13,8,4,4,55.07,0.0,55.07,0,1875,2531,77,11,21,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
bili,B站,2026-07-14,11,4,7,31.28,0.0,31.28,0,1862,2514,76,11,20,7,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
bili,B站,2026-07-15,8,2,6,21.13,0.0,21.13,0,1834,2476,75,11,20,7,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
bili,B站,2026-07-16,11,3,8,46.98,0.0,46.98,1,1947,2628,80,12,21,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
bili,B站,2026-07-17,16,0,16,40.86,0.0,40.86,0,1803,2434,74,11,20,7,5,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
bili,B站,2026-07-18,10,3,7,63.92,0.0,63.92,0,1970,2660,81,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
bili,B站,2026-07-19,10,2,8,31.39,0.0,31.39,0,1955,2639,80,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
bili,B站,2026-07-20,7,2,5,62.77,0.0,62.77,1,1965,2653,81,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
bili,B站,2026-07-21,5,1,4,23.76,0.0,23.76,0,1916,2587,79,11,21,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
bili,B站,2026-07-22,15,0,15,58.01,0.0,58.01,0,1974,2665,81,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
bili,B站,2026-07-23,16,0,16,61.6,0.0,61.6,0,2011,2715,82,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
bili,B站,2026-07-24,14,0,14,36.92,0.0,36.92,1,2045,2761,84,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
bili,B站,2026-07-25,7,1,6,31.77,0.0,31.77,0,2086,2816,86,13,23,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
bili,B站,2026-07-26,5,3,2,40.15,0.0,40.15,0,2059,2780,84,12,23,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
bili,B站,2026-07-27,5,1,4,44.9,0.0,44.9,0,2029,2739,83,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
bili,B站,2026-07-28,11,2,9,56.33,0.0,56.33,1,1996,2695,82,12,22,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
bili,B站,2026-07-29,11,0,11,21.89,0.0,21.89,0,2154,2908,88,13,24,9,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
bili,B站,2026-07-30,13,3,10,58.83,0.0,58.83,0,2139,2888,88,13,24,9,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
bili,B站,2026-07-31,13,2,11,39.28,0.0,39.28,0,2088,2819,86,13,23,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
