platform,platform_name,date,new_followers,lost_followers,net_followers,gross_revenue,refund_amount,net_revenue,content_count,views,exposure,likes,comments,favorites,shares,coins,danmaku,quality_note,source_file,source_mtime
xhs,小红书,2026-07-11,3,3,0,81.38,6.51,0.0,1,907,1224,32,5,10,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
douyin,抖音,2026-07-11,10,0,10,0.0,0.0,0.0,0,1212,1636,45,7,13,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
zhihu,知乎,2026-07-11,9,2,7,0.0,0.0,0.0,0,1469,1983,57,9,16,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
bili,B站,2026-07-11,11,0,11,54.27,0.0,54.27,0,1770,2390,73,11,19,7,5,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
wechat,公众号,2026-07-11,11,4,7,0.0,0.0,0.0,0,1950,2632,84,12,21,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
xhs,小红书,2026-07-12,4,2,2,138.4,11.07,0.0,0,985,1330,34,6,11,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
douyin,抖音,2026-07-12,6,0,6,0.0,0.0,0.0,0,1232,1663,46,7,14,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
zhihu,知乎,2026-07-12,7,2,5,0.0,0.0,0.0,1,1500,2025,59,9,16,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
bili,B站,2026-07-12,12,4,8,59.11,0.0,59.11,1,1789,2415,73,11,20,7,5,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
wechat,公众号,2026-07-12,9,4,5,0.0,0.0,0.0,0,2013,2718,87,12,22,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
xhs,小红书,2026-07-13,3,0,3,136.26,10.9,0.0,0,957,1292,33,6,11,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
douyin,抖音,2026-07-13,6,0,6,0.0,0.0,0.0,0,1311,1770,49,8,14,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
zhihu,知乎,2026-07-13,14,1,13,0.0,0.0,0.0,0,1498,2022,58,9,16,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
bili,B站,2026-07-13,8,4,4,55.07,0.0,55.07,0,1875,2531,77,11,21,8,6,4,synthetic_demo,data/demo/B站数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
