platform,platform_name,date,new_followers,lost_followers,net_followers,gross_revenue,refund_amount,net_revenue,content_count,views,exposure,likes,comments,favorites,shares,coins,danmaku,quality_note,source_file,source_mtime
wechat,公众号,2026-07-11,11,4,7,0.0,0.0,0.0,0,1950,2632,84,12,21,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
wechat,公众号,2026-07-12,9,4,5,0.0,0.0,0.0,0,2013,2718,87,12,22,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
wechat,公众号,2026-07-13,7,3,4,0.0,0.0,0.0,1,2144,2894,92,13,24,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
wechat,公众号,2026-07-14,9,3,6,0.0,0.0,0.0,0,2051,2769,88,12,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
wechat,公众号,2026-07-15,16,5,11,0.0,0.0,0.0,0,2074,2800,89,12,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
wechat,公众号,2026-07-16,17,3,14,0.0,0.0,0.0,1,2092,2824,90,13,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
wechat,公众号,2026-07-17,17,2,15,0.0,0.0,0.0,0,2112,2851,91,13,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
wechat,公众号,2026-07-18,10,4,6,0.0,0.0,0.0,0,2073,2799,89,12,23,8,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
wechat,公众号,2026-07-19,18,2,16,0.0,0.0,0.0,1,2164,2921,93,13,24,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
wechat,公众号,2026-07-20,11,1,10,0.0,0.0,0.0,0,2248,3035,97,13,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
wechat,公众号,2026-07-21,15,2,13,0.0,0.0,0.0,0,2160,2916,93,13,24,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
wechat,公众号,2026-07-22,18,5,13,0.0,0.0,0.0,1,2253,3042,97,14,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
wechat,公众号,2026-07-23,13,4,9,0.0,0.0,0.0,0,2280,3078,98,14,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
wechat,公众号,2026-07-24,13,5,8,0.0,0.0,0.0,0,2292,3094,99,14,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
wechat,公众号,2026-07-25,12,5,7,0.0,0.0,0.0,1,2294,3097,99,14,25,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
wechat,公众号,2026-07-26,11,1,10,0.0,0.0,0.0,0,2366,3194,102,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
wechat,公众号,2026-07-27,7,2,5,0.0,0.0,0.0,0,2351,3174,101,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
wechat,公众号,2026-07-28,18,5,13,0.0,0.0,0.0,1,2322,3135,100,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
wechat,公众号,2026-07-29,12,4,8,0.0,0.0,0.0,0,2339,3158,101,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
wechat,公众号,2026-07-30,10,5,5,0.0,0.0,0.0,0,2326,3140,100,14,26,9,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
wechat,公众号,2026-07-31,15,2,13,0.0,0.0,0.0,1,2440,3294,105,15,27,10,0,0,synthetic_demo,data/demo/公众号数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
