platform,platform_name,date,new_followers,lost_followers,net_followers,gross_revenue,refund_amount,net_revenue,content_count,views,exposure,likes,comments,favorites,shares,coins,danmaku,quality_note,source_file,source_mtime
xhs,小红书,2026-07-11,3,3,0,81.38,6.51,0.0,1,907,1224,32,5,10,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
xhs,小红书,2026-07-12,4,2,2,138.4,11.07,0.0,0,985,1330,34,6,11,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
xhs,小红书,2026-07-13,3,0,3,136.26,10.9,0.0,0,957,1292,33,6,11,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
xhs,小红书,2026-07-14,5,1,4,122.21,9.78,0.0,1,1120,1512,39,7,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
xhs,小红书,2026-07-15,7,1,6,134.48,10.76,0.0,0,1083,1462,38,6,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
xhs,小红书,2026-07-16,2,1,1,94.95,7.6,0.0,0,1134,1531,40,7,12,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
xhs,小红书,2026-07-17,9,1,8,96.89,7.75,0.0,1,1055,1424,37,6,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
xhs,小红书,2026-07-18,5,1,4,137.32,10.99,0.0,0,1057,1427,37,6,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
xhs,小红书,2026-07-19,9,0,9,104.21,8.34,0.0,0,1096,1480,38,7,12,4,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
xhs,小红书,2026-07-20,9,2,7,105.12,8.41,0.0,1,1183,1597,41,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
xhs,小红书,2026-07-21,3,2,1,82.99,6.64,0.0,0,1172,1582,41,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
xhs,小红书,2026-07-22,2,3,-1,110.81,8.86,0.0,0,1276,1723,45,8,14,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
xhs,小红书,2026-07-23,9,2,7,136.37,10.91,0.0,1,1149,1551,40,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
xhs,小红书,2026-07-24,7,0,7,114.48,9.16,0.0,0,1192,1609,42,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
xhs,小红书,2026-07-25,4,2,2,84.81,6.78,0.0,0,1158,1563,41,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
xhs,小红书,2026-07-26,3,0,3,118.46,9.48,0.0,1,1329,1794,47,8,15,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
xhs,小红书,2026-07-27,7,1,6,139.91,11.19,0.0,0,1189,1605,42,7,13,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
xhs,小红书,2026-07-28,4,3,1,95.42,7.63,0.0,0,1344,1814,47,8,15,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
xhs,小红书,2026-07-29,2,1,1,89.64,7.17,0.0,1,1295,1748,45,8,14,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
xhs,小红书,2026-07-30,6,1,5,127.16,10.17,0.0,0,1320,1782,46,8,15,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
xhs,小红书,2026-07-31,8,2,6,82.3,6.58,0.0,0,1297,1751,45,8,14,5,0,0,synthetic_demo,data/demo/小红书内容数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
