platform,platform_name,date,new_followers,lost_followers,net_followers,gross_revenue,refund_amount,net_revenue,content_count,views,exposure,likes,comments,favorites,shares,coins,danmaku,quality_note,source_file,source_mtime
douyin,抖音,2026-07-11,10,0,10,0.0,0.0,0.0,0,1212,1636,45,7,13,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
douyin,抖音,2026-07-12,6,0,6,0.0,0.0,0.0,0,1232,1663,46,7,14,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
douyin,抖音,2026-07-13,6,0,6,0.0,0.0,0.0,0,1311,1770,49,8,14,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
douyin,抖音,2026-07-14,3,1,2,0.0,0.0,0.0,1,1238,1671,46,7,14,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
douyin,抖音,2026-07-15,3,1,2,0.0,0.0,0.0,0,1283,1732,47,8,14,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
douyin,抖音,2026-07-16,5,0,5,0.0,0.0,0.0,0,1372,1852,51,8,15,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
douyin,抖音,2026-07-17,4,1,3,0.0,0.0,0.0,0,1448,1955,54,9,16,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
douyin,抖音,2026-07-18,9,1,8,0.0,0.0,0.0,1,1412,1906,52,8,16,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
douyin,抖音,2026-07-19,10,0,10,0.0,0.0,0.0,0,1333,1800,49,8,15,5,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
douyin,抖音,2026-07-20,5,0,5,0.0,0.0,0.0,0,1497,2021,55,9,16,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
douyin,抖音,2026-07-21,12,2,10,0.0,0.0,0.0,0,1378,1860,51,8,15,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
douyin,抖音,2026-07-22,5,2,3,0.0,0.0,0.0,1,1518,2049,56,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
douyin,抖音,2026-07-23,9,0,9,0.0,0.0,0.0,0,1540,2079,57,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
douyin,抖音,2026-07-24,8,1,7,0.0,0.0,0.0,0,1407,1899,52,8,15,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
douyin,抖音,2026-07-25,5,3,2,0.0,0.0,0.0,0,1513,2043,56,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
douyin,抖音,2026-07-26,3,1,2,0.0,0.0,0.0,1,1556,2101,58,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
douyin,抖音,2026-07-27,9,1,8,0.0,0.0,0.0,0,1465,1978,54,9,16,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
douyin,抖音,2026-07-28,5,3,2,0.0,0.0,0.0,0,1510,2039,56,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
douyin,抖音,2026-07-29,4,3,1,0.0,0.0,0.0,0,1510,2039,56,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
douyin,抖音,2026-07-30,11,0,11,0.0,0.0,0.0,1,1583,2137,59,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
douyin,抖音,2026-07-31,3,3,0,0.0,0.0,0.0,0,1577,2129,58,9,17,6,0,0,synthetic_demo,data/demo/抖音数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
