platform,platform_name,date,new_followers,lost_followers,net_followers,gross_revenue,refund_amount,net_revenue,content_count,views,exposure,likes,comments,favorites,shares,coins,danmaku,quality_note,source_file,source_mtime
zhihu,知乎,2026-07-11,9,2,7,0.0,0.0,0.0,0,1469,1983,57,9,16,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-11T12:00:00+08:00
zhihu,知乎,2026-07-12,7,2,5,0.0,0.0,0.0,1,1500,2025,59,9,16,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-12T12:00:00+08:00
zhihu,知乎,2026-07-13,14,1,13,0.0,0.0,0.0,0,1498,2022,58,9,16,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-13T12:00:00+08:00
zhihu,知乎,2026-07-14,7,3,4,0.0,0.0,0.0,0,1489,2010,58,9,16,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-14T12:00:00+08:00
zhihu,知乎,2026-07-15,9,4,5,0.0,0.0,0.0,1,1547,2088,60,9,17,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-15T12:00:00+08:00
zhihu,知乎,2026-07-16,10,4,6,0.0,0.0,0.0,0,1644,2219,64,10,18,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-16T12:00:00+08:00
zhihu,知乎,2026-07-17,13,2,11,0.0,0.0,0.0,0,1669,2253,65,10,18,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-17T12:00:00+08:00
zhihu,知乎,2026-07-18,13,4,9,0.0,0.0,0.0,1,1573,2124,61,9,17,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-18T12:00:00+08:00
zhihu,知乎,2026-07-19,13,3,10,0.0,0.0,0.0,0,1615,2180,63,10,18,6,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-19T12:00:00+08:00
zhihu,知乎,2026-07-20,13,1,12,0.0,0.0,0.0,0,1690,2282,66,10,19,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-20T12:00:00+08:00
zhihu,知乎,2026-07-21,4,2,2,0.0,0.0,0.0,1,1655,2234,65,10,18,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-21T12:00:00+08:00
zhihu,知乎,2026-07-22,12,0,12,0.0,0.0,0.0,0,1754,2368,68,11,19,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-22T12:00:00+08:00
zhihu,知乎,2026-07-23,12,0,12,0.0,0.0,0.0,0,1756,2371,68,11,19,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-23T12:00:00+08:00
zhihu,知乎,2026-07-24,9,0,9,0.0,0.0,0.0,1,1663,2245,65,10,18,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-24T12:00:00+08:00
zhihu,知乎,2026-07-25,11,0,11,0.0,0.0,0.0,0,1722,2325,67,10,19,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-25T12:00:00+08:00
zhihu,知乎,2026-07-26,12,1,11,0.0,0.0,0.0,0,1783,2407,70,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-26T12:00:00+08:00
zhihu,知乎,2026-07-27,13,4,9,0.0,0.0,0.0,1,1824,2462,71,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-27T12:00:00+08:00
zhihu,知乎,2026-07-28,8,0,8,0.0,0.0,0.0,0,1795,2423,70,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-28T12:00:00+08:00
zhihu,知乎,2026-07-29,9,2,7,0.0,0.0,0.0,0,1818,2454,71,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-29T12:00:00+08:00
zhihu,知乎,2026-07-30,12,2,10,0.0,0.0,0.0,1,1832,2473,71,11,20,7,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-30T12:00:00+08:00
zhihu,知乎,2026-07-31,8,0,8,0.0,0.0,0.0,0,1937,2615,76,12,21,8,0,0,synthetic_demo,data/demo/知乎数据/示例账号/monthly/demo_metrics/2026-07_模拟指标.csv,2026-07-31T12:00:00+08:00
